Image URL,Product Name,Original Price,Discount Price,Product URL,Availability,Seller
https://www.euronics.ee/UserFiles/Products/Images/395745-595776-medium.png,Apple iPhone 16 Pro 1 TB desert titanium - Smartphone,1899,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynw3hxfsa/apple-iphone-16-pro-1-tb-pruun-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395704-595710-medium.png,Apple iPhone 16 Plus 256 GB pink - Smartphone,1259,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mxy13hxfsa/apple-iphone-16-plus-256-gb-roosa-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395757-595799-medium.png,Apple iPhone 16 Pro 1 TB white titanium - Smartphone,1899,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mynt3hxfsa/apple-iphone-16-pro-1-tb-valge-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395694-595753-medium.png,Apple iPhone 16 Plus 256 GB black - Smartphone,1259,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mxwn3hxfsa/apple-iphone-16-plus-256-gb-must-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395890-595832-medium.png,Apple iPhone 16 Pro Max 1 TB white titanium - Smartphone,2009,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myx53hxfsa/apple-iphone-16-pro-max-1-tb-valge-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395709-595720-medium.png,Apple iPhone 16 Plus 256 GB teal - Smartphone,1259,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mxy53hxfsa/apple-iphone-16-plus-256-gb-roheline-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/362186-545678-medium.png,Apple iPhone 15 128 GB pink - Smartphone,869.99,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mtp13pxfsa/apple-iphone-15-128-gb-roosa-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/362240-545458-medium.png,Apple iPhone 15 512 GB black - Smartphone,1239,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/mtpc3pxfsa/apple-iphone-15-512-gb-must-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395581-595651-medium.png,Apple iPhone 16 512 GB black - Smartphone,1359,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myek3hxfsa/apple-iphone-16-512-gb-must-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395571-595631-medium.png,Apple iPhone 16 512 GB pink - Smartphone,1359,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myeq3hxfsa/apple-iphone-16-512-gb-roosa-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395553-595595-medium.png,Apple iPhone 16 512 GB utramarine - Smartphone,1359,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myer3hxfsa/apple-iphone-16-512-gb-sinine-nutitelefon,Out of Stock,Euronics
https://www.euronics.ee/UserFiles/Products/Images/395576-595641-medium.png,Apple iPhone 16 512 GB white - Smartphone,1359,,https://www.euronics.ee/telefonid/nutitelefonid/iphone/myep3hxfsa/apple-iphone-16-512-gb-valge-nutitelefon,Out of Stock,Euronics
