Image URL,Product Name,Original Price,Discount Price,Product URL,Availability,Seller
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone7-black-select-20161.png,Nutitelefon Apple iPhone 7 32GB must - uue ringi,159.99,89.99,https://www.klick.ee/nutitelefon-apple-iphone-7-32gb-must-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/r/e/refurb-iphone8-spacegray.jpg,Apple iPhone 8 64GB hall - uue ringi,259.99,129.99,https://www.klick.ee/apple-iphone-8-64gb-hall-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_1007.jpg,Apple iPhone SE (2020) 3+64GB must - uue ringi,299.99,159.99,https://www.klick.ee/apple-iphone-se-2020-3-64gb-must-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/x/s/xs_kuld_1.jpg,Nutitelefon Apple iPhone XS 64GB - uue ringi,399.99,219.99,https://www.klick.ee/nutitelefon-apple-iphone-xs-64gb-uue-ringi?childSku=U0101984400038,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone-11-red-10_1.jpg,Nutitelefon Apple iPhone 11 64GB - uue ringi,449.99,299.99,https://www.klick.ee/nutitelefon-apple-iphone-11-64gb-uue-ringi?childSku=P0102600500053,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/m/g/mgdy3eu_1_3_2.jpg,Nutitelefon Apple iPhone 12 mini 64GB valge - uue ringi,459.99,359.99,https://www.klick.ee/nutitelefon-apple-iphone-12-mini-64gb-valge-uue-ringi-1,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/m/g/mge03eu_1_3_1.jpg,Nutitelefon Apple iPhone 12 mini 64GB punane - uue ringi,459.99,359.99,https://www.klick.ee/nutitelefon-apple-iphone-12-mini-64gb-punane-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/m/g/mgdx3eu_1_3_1_1.jpg,Nutitelefon Apple iPhone 12 mini 64GB must - uue ringi,459.99,359.99,https://www.klick.ee/nutitelefon-apple-iphone-12-mini-64gb-must-uue-ringi-2,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_17_1_3.png,Nutitelefon Apple iPhone SE (2022) 128GB must - uue ringi,499.99,379.99,https://www.klick.ee/nutitelefon-apple-iphone-se-2022-128gb-must-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_1020_1_3.jpg,Nutitelefon Apple iPhone 12 64GB sinine - uue ringi,389.99,,https://www.klick.ee/nutitelefon-apple-iphone-12-64gb-sinine-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone11-pro-roheline-1_2_1.jpg,Nutitelefon Apple iPhone 11 Pro 64GB roheline - uue ringi,599.99,399.99,https://www.klick.ee/nutitelefon-apple-iphone-11-pro-64gb-roheline-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_1016_1_2_1.jpg,Nutitelefon Apple iPhone 12 64GB must - uue ringi,469.99,399.99,https://www.klick.ee/nutitelefon-apple-iphone-12-64gb-must-uue-ringi-1,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/r/e/refurb-iphone-11-pro-gold-2019_geo_emea_1.jpg,Nutitelefon Apple iPhone 11 Pro 64GB kuldne - uue ringi,599.99,399.99,https://www.klick.ee/nutitelefon-apple-iphone-11-pro-64gb-kuldne-uue-ringi-1,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/7/1/712s1uxihll._ac_sl1500__1.jpg,Nutitelefon Apple iPhone 11 Pro 64GB must - uue ringi,419.99,,https://www.klick.ee/nutitelefon-apple-iphone-11-pro-64gb-must-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/2/_/2_917_1_1.jpg,Nutitelefon Apple iPhone 11 128GB,599.99,479.99,https://www.klick.ee/apple-iphone-11-128gb?childSku=MHDH3ET%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_17_1_1.png,Nutitelefon Apple iPhone SE 2022 64GB,549.99,489.99,https://www.klick.ee/nutitelefon-apple-iphone-se-2022-64gb?childSku=MMXF3ET%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_13_midnight_pdp_image_position-1a__wwen_5_1.jpg,Nutitelefon Apple iPhone 13 128GB must - uue ringi,499.99,,https://www.klick.ee/nutitelefon-apple-iphone-13-128gb-must-uue-ringi-2,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_13_midnight_pdp_image_position-1a__wwen_5.jpg,Nutitelefon Apple iPhone 13 128GB must - uue ringi,599.99,499.99,https://www.klick.ee/nutitelefon-apple-iphone-13-128gb-must-uue-ringi-1,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_13_pink_pdp_image_position-1a__wwen_3.jpg,Nutitelefon Apple iPhone 13 128GB roosa - uue ringi,599.99,499.99,https://www.klick.ee/nutitelefon-apple-iphone-13-128gb-roosa-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_1020_1_1.jpg,Nutitelefon Apple iPhone 12 64GB,565.99,519.99,https://www.klick.ee/nutitelefon-apple-iphone-12-4-64gb?childSku=MGJ53ET%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_13_midnight_pdp_image_position-1a__wwen_1.jpg,Nutitelefon Apple iPhone 13 128GB,567.99,547.99,https://www.klick.ee/nutitelefon-apple-iphone-13-128gb-1?childSku=MLPF3ET%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_1018_1_1.jpg,Nutitelefon Apple iPhone 12 128GB,615.99,559.99,https://www.klick.ee/nutitelefon-apple-iphone-12-4-128gb?childSku=MGJA3ET%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/1/_/1_17_1_2.png,Nutitelefon Apple iPhone SE 2022 128GB,566.99,,https://www.klick.ee/nutitelefon-apple-iphone-se-2022-128gb?childSku=MMXK3ET%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_13_pro_graphite_pdp_image_position-1a__wwen_2_1_1.jpg,Nutitelefon Apple iPhone 13 Pro 128GB - uue ringi,999.99,649.99,https://www.klick.ee/nutitelefon-apple-iphone-13-pro-128gb-uue-ringi?childSku=U0104341000091,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/w/w/wwen_iphone14plus_q422_midnight_pdp_image_position-1a_2_2.jpg,Nutitelefon Apple iPhone 14 Plus 128GB must - uue ringi,799.99,749.99,https://www.klick.ee/nutitelefon-apple-iphone-14-plus-128gb-must-uue-ringi,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/w/w/wwen_iphone14plus_q422_midnight_pdp_image_position-1a_3.jpg,Nutitelefon Apple iPhone 14 Plus 128GB,879.99,,https://www.klick.ee/nutitelefon-apple-iphone-14-plus-128gb?childSku=MQ503PX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_black_pdp_image_position-1__wwen_1_3.jpg,Nutitelefon Apple iPhone 15 128GB,859.99,,https://www.klick.ee/nutitelefon-apple-iphone-15-128gb?childSku=MTP03PX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_white_pdp_image_position_1__ce-ww_3.jpg,Nutitelefon Apple iPhone 16 128GB,999.0,979.0,https://www.klick.ee/nutitelefon-apple-iphone-16-128gb?childSku=MYE73HX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_plus_pink_pdp_image_position-1__wwen_3.jpg,Nutitelefon Apple iPhone 15 Plus 128GB,1128.99,979.99,https://www.klick.ee/nutitelefon-apple-iphone-15-plus-128gb?childSku=MU0Y3PX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/w/w/wwen_iphone14plus_q422_starlight_pdp_image_position-1a_3.jpg,Nutitelefon Apple iPhone 14 Plus 256GB,997.99,,https://www.klick.ee/nutitelefon-apple-iphone-14-plus-256gb?childSku=MQ533PX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_plus_pink_pdp_image_position-1__wwen_1_1.jpg,Nutitelefon Apple iPhone 15 Plus 256GB,1259.0,1099.0,https://www.klick.ee/nutitelefon-apple-iphone-15-plus-256gb?childSku=MU183PX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_white_pdp_image_position_1__ce-ww_7.jpg,Nutitelefon Apple iPhone 16 256GB,1129.0,1109.0,https://www.klick.ee/nutitelefon-apple-iphone-16-256gb?childSku=MYEE3HX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_pro_natural_titanium_pdp_image_position-1__wwen_4.jpg,Nutitelefon Apple iPhone 15 Pro 128GB,1239.0,1127.0,https://www.klick.ee/nutitelefon-apple-iphone-15-pro-128gb?childSku=MTUV3PX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_plus_teal_pdp_image_position_1__ce-ww_6.jpg,Nutitelefon Apple iPhone 16 Plus 128GB,1149.0,1129.0,https://www.klick.ee/nutitelefon-apple-iphone-16-plus-128gb?childSku=MXVU3HX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_pro_desert_titanium_pdp_image_position_1__ce-ww_8.jpg,Nutitelefon Apple iPhone 16 Pro 128GB,1259.0,1239.0,https://www.klick.ee/nutitelefon-apple-iphone-16-pro-128gb?childSku=MYND3HX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_plus_teal_pdp_image_position_1__ce-ww_3.jpg,Nutitelefon Apple iPhone 16 Plus 256GB,1279.0,1259.0,https://www.klick.ee/nutitelefon-apple-iphone-16-plus-256gb?childSku=MXWN3HX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_black_pdp_image_position-1__wwen_1_2_1.jpg,Nutitelefon Apple iPhone 15 512GB,1259.0,,https://www.klick.ee/nutitelefon-apple-iphone-15-512gb?childSku=MTPC3PX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_white_pdp_image_position_1__ce-ww_4.jpg,Nutitelefon Apple iPhone 16 512GB,1379.0,1359.0,https://www.klick.ee/nutitelefon-apple-iphone-16-512gb?childSku=MYEK3HX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_pro_desert_titanium_pdp_image_position_1__ce-ww_4.jpg,Nutitelefon Apple iPhone 16 Pro 256GB,1389.0,1369.0,https://www.klick.ee/nutitelefon-apple-iphone-16-pro-256gb?childSku=MYNH3HX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_pro_max_natural_titanium_pdp_image_position-1__wwen_3.jpg,Nutitelefon Apple iPhone 15 Pro Max 256GB,1489.0,1377.0,https://www.klick.ee/nutitelefon-apple-iphone-15-pro-max-256gb?childSku=MU773PX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_plus_green_pdp_image_position-1__wwen_2_1.jpg,Nutitelefon Apple iPhone 15 Plus 512GB,1409.0,,https://www.klick.ee/nutitelefon-apple-iphone-15-plus-512gb?childSku=MU1J3PX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_pro_max_natural_titanium_pdp_image_position_1__ce-ww_5.jpg,Nutitelefon Apple iPhone 16 Pro Max 256GB,1509.0,1489.0,https://www.klick.ee/nutitelefon-apple-iphone-16-pro-max-256gb?childSku=MYWV3HX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_plus_teal_pdp_image_position_1__ce-ww_5.jpg,Nutitelefon Apple iPhone 16 Plus 512GB,1529.0,1509.0,https://www.klick.ee/nutitelefon-apple-iphone-16-plus-512gb?childSku=MY1P3HX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_pro_max_natural_titanium_pdp_image_position-1__wwen_1_1.jpg,Nutitelefon Apple iPhone 15 Pro Max 512GB,1739.0,1587.0,https://www.klick.ee/nutitelefon-apple-iphone-15-pro-max-512gb?childSku=MU7C3PX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_pro_desert_titanium_pdp_image_position_1__ce-ww_5.jpg,Nutitelefon Apple iPhone 16 Pro 512GB,1639.0,1619.0,https://www.klick.ee/nutitelefon-apple-iphone-16-pro-512gb?childSku=MYNM3HX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_pro_max_natural_titanium_pdp_image_position_1__ce-ww_9.jpg,Nutitelefon Apple iPhone 16 Pro Max 512GB,1759.0,1739.0,https://www.klick.ee/nutitelefon-apple-iphone-16-pro-max-512gb?childSku=MYX03HX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_pro_natural_titanium_pdp_image_position-1__wwen_3_1.jpg,Nutitelefon Apple iPhone 15 Pro 1TB,1787.99,,https://www.klick.ee/nutitelefon-apple-iphone-15-pro-1tb?childSku=MTVC3PX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_pro_desert_titanium_pdp_image_position_1__ce-ww_6.jpg,Nutitelefon Apple iPhone 16 Pro 1TB,1899.0,1879.0,https://www.klick.ee/nutitelefon-apple-iphone-16-pro-1tb?childSku=MYNR3HX%2FA,In Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_15_pro_max_black_titanium_pdp_image_position-1__wwen_2_1.jpg,Nutitelefon Apple iPhone 15 Pro Max 1TB,1898.99,,https://www.klick.ee/nutitelefon-apple-iphone-15-pro-max-1tb?childSku=MU7K3PX%2FA,Out of Stock,Klick
https://vsf-api.klick.ee/img/310/300/resize/i/p/iphone_16_pro_max_natural_titanium_pdp_image_position_1__ce-ww_6.jpg,Nutitelefon Apple iPhone 16 Pro Max 1TB,2009.0,1989.0,https://www.klick.ee/nutitelefon-apple-iphone-16-pro-max-1tb?childSku=MYX43HX%2FA,In Stock,Klick
